   year A.D.               Ppm,,,Mauna Loa,year,mean,unc,,,YEAR,,Deviations from Average,,Training Year,Training CO2,Test Year,Test CO2
1832,284.3,,,1959,315.97,0.12,,,1850,284.7,284.7,,1850,284.7,1975,330.705
1833,284.1,,,1960,316.91,0.12,,,1851,284.9,284.9,,1851,284.9,1976,331.77
1834,284,,,1961,317.64,0.12,,,1852,285,285,,1852,285,1977,333.215
1835,283.8,,,1962,318.45,0.12,,,1853,285.1,285.1,,1853,285.1,1978,334.55
1836,283.7,,,1963,318.99,0.12,,,1854,285.3,285.3,,1854,285.3,1979,336.84
1837,283.5,,,1964,319.62,0.12,,,1855,285.4,285.4,,1855,285.4,1980,338.75
1838,283.4,,,1965,320.04,0.12,,,1856,285.6,285.6,,1856,285.6,1981,340.11
1839,283.4,,,1966,321.38,0.12,,,1857,285.7,285.7,,1857,285.7,1982,341.45
1840,283.4,,,1967,322.16,0.12,,,1858,285.9,285.9,,1858,285.9,1983,343.05
1841,283.4,,,1968,323.04,0.12,,,1859,286.1,286.1,,1859,286.1,1984,344.65
1842,283.5,,,1969,324.62,0.12,,,1860,286.2,286.2,,1860,286.2,1985,346.12
1843,283.6,,,1970,325.68,0.12,,,1861,286.4,286.4,,1861,286.4,1986,347.42
1844,283.7,,,1971,326.32,0.12,,,1862,286.5,286.5,,1862,286.5,1987,349.19
1845,283.9,,,1972,327.45,0.12,,,1863,286.6,286.6,,1863,286.6,1988,351.57
1846,284.1,,,1973,329.68,0.12,,,1864,286.8,286.8,,1864,286.8,1989,353.12
1847,284.2,,,1974,330.18,0.12,,,1865,286.9,286.9,,1865,286.9,1990,354.39
1848,284.4,,,1975,331.11,0.12,,,1866,287,287,,1866,287,1991,355.61
1849,284.6,,,1976,332.04,0.12,,,1867,287.1,287.1,,1867,287.1,1992,356.45
1850,284.7,,,1977,333.83,0.12,,,1868,287.2,287.2,,1868,287.2,1993,357.1
1851,284.9,,,1978,335.4,0.12,,,1869,287.4,287.4,,1869,287.4,1994,358.83
1852,285,,,1979,336.84,0.12,,,1870,287.5,287.5,,1870,287.5,1995,360.82
1853,285.1,,,1980,338.75,0.12,,,1871,287.7,287.7,,1871,287.7,1996,362.61
1854,285.3,,,1981,340.11,0.12,,,1872,287.9,287.9,,1872,287.9,1997,363.73
1855,285.4,,,1982,341.45,0.12,,,1873,288.1,288.1,,1873,288.1,1998,366.7
1856,285.6,,,1983,343.05,0.12,,,1874,288.4,288.4,,1874,288.4,1999,368.38
1857,285.7,,,1984,344.65,0.12,,,1875,288.7,288.7,,1875,288.7,2000,369.55
1858,285.9,,,1985,346.12,0.12,,,1876,289,289,,1876,289,2001,371.14
1859,286.1,,,1986,347.42,0.12,,,1877,289.4,289.4,,1877,289.4,2002,373.28
1860,286.2,,,1987,349.19,0.12,,,1878,289.8,289.8,,1878,289.8,2003,375.8
1861,286.4,,,1988,351.57,0.12,,,1879,290.2,290.2,,1879,290.2,2004,377.52
1862,286.5,,,1989,353.12,0.12,,,1880,290.7,290.7,,1880,290.7,2005,379.8
1863,286.6,,,1990,354.39,0.12,,,1881,291.2,291.2,,1881,291.2,2006,381.9
1864,286.8,,,1991,355.61,0.12,,,1882,291.7,291.7,,1882,291.7,2007,383.79
1865,286.9,,,1992,356.45,0.12,,,1883,292.1,292.1,,1883,292.1,2008,385.6
1866,287,,,1993,357.1,0.12,,,1884,292.6,292.6,,1884,292.6,2009,387.43
1867,287.1,,,1994,358.83,0.12,,,1885,293,293,,1885,293,2010,389.9
     1868                 287.2        \,287.2,,,1995,360.82,0.12,,,1886,293.3,293.3,,1886,293.3,2011,391.65
1869,287.4,,,1996,362.61,0.12,,,1887,293.6,293.6,,1887,293.6,2012,393.85
1870,287.5,,,1997,363.73,0.12,,,1888,293.8,293.8,,1888,293.8,2013,396.52
1871,287.7,,,1998,366.7,0.12,,,1889,294,294,,1889,294,2014,398.65
1872,287.9,,,1999,368.38,0.12,,,1890,294.2,294.2,,1890,294.2,2015,400.83
